card_id,benefit_seq,category,benefit_type,rate,is_selectable,icon_type,dt_class,summary,detail
2885,1,기타,할인,,Y,기본혜택,,할인 혜택(택 1),"선택 옵션에 따른 할인 혜택 제공 (택 1)
- 국내 가맹점 0.7% 할인
- 아파트 관리비/통신 10% 할인
- 교육 10% 할인

  * 선택한 옵션에 대해서만 제공
  * 옵션은 모니모 앱, 삼성카드 홈페이지(PC, 모바일)/앱을 통해 매월 변경 가능하며, 변경 신청 다음 달 1일에 자동 반영"
2885,2,생활편의,할인,5%,N,기본혜택,,5%할인,"생활 편의 영역 5% 할인
- 생활잡화/공연/서점/보틀숍 5% 결제일할인
구분 할인 대상
생활잡화 다이소
공연 NOL 티켓
서점 알라딘
보틀숍 와인앤모어
- 통합 월 할인한도 : 5,000원
- 전월 이용금액 40만원 이상 시 제공
- 발급월 +1개월까지는 전월 이용금액 40만원 미만 시에도 제공
- 생활잡화는 오프라인 결제건에 한하며, 백화점, 할인점, 쇼핑몰 등의 임대매장은 제외
- 공연은 공식 홈페이지/앱을 통한 결제건에 한함
- 서점은 오프라인 및 공식 홈페이지 앱을 통한 결제건에 한하며, 캐시 충전건, 구글플레이, 앱스토어 등을 통한 결제건(인앱 결제) 제외
- 보틀숍은 와인앤모어 데일리 등 일부 임대매장 제외"
2885,3,디지털콘텐츠,할인,50%,N,기본혜택,,50%할인,"디지털콘텐츠/멤버십 50% 할인
- 디지털콘텐츠/멤버십 정기결제 시 50% 결제일할인
구분 할인 대상
디지털콘텐츠 넷플릭스, 디즈니+, 유튜브, 티빙
멤버십 쿠팡 와우 멤버십, 네이버플러스 멤버십
- 통합 월 할인한도 : 5,000원
- 전월 이용금액 40만원 이상 시 제공
- 발급월 +1개월까지는 전월 이용금액 40만원 미만 시에도 제공
- 디지털콘텐츠의 유튜브는 유튜브 프리미엄 결제건에 한함
- 디지털콘텐츠는 구글플레이, 앱스토어 등을 통한 결제건(인앱 결제) 제외"
13,1,공과금,할인,10%,N,기본혜택,,10%할인,"월납요금(공과금) 10% 할인서비스
- 전기요금 /도시가스요금/ SKT, LG U+, KT 통신요금 할인
  * 인터넷/집전화/이동통신/결합상품 포함
- 일 1회 할인 적용
- 1회 이용 금액 5만원까지 할인 적용 (1회 최대 5천원 할인)

할인한도안내
- 전월실적 30만원~50만원 : 3천원
- 전월실적 50만원 ~100만원 : 7천원
- 전월실적 100만원 이상 : 1만원 

- 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다.
- 월납(공과금) 할인서비스는 전월 이용금액에 따라 제공된 월 할인 한도 내에서 서비스가 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 3천원의 할인한도가 제공됩니다.
- 전월 이용실적은 일시불+할부 금액 기준이며 (전월 할인거래 실적 포함) 교통이용금액은 전전월 이용금액 기준, 해외이용- 금액은 매입일자를 기준으로 적용됩니다
- 월 기준 : 매월 1일 ~ 말일"
13,2,마트/편의점,할인,10%,N,기본혜택,,10%할인,"TIME 할인서비스 10% 할인 
편의점 10% 할인
- 편의점 업종 
- 서비스 영역별 각각 일 1회 할인 적용
- 1회 이용 금액 1만원까지 할인 적용 (1회 최대 1천원 할인)
- 월 5회 할인 적용

TIME 할인서비스 할인한도안내
- 전월실적 30만원~50만원 : 1만원
- 전월실적 50만원 ~100만원 : 2만원
- 전월실적 100만원 이상 : 3만원 

유의사항
- 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다.
- TIME 할인서비스는 전월 이용금액에 따라 제공된 월 할인 한도 내에서 서비스가 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 1만원의 할인한도가 제공됩니다.
- 편의점, 병원/약국, 세탁소, 식음료는 신한카드 가맹점 업종 기준으로 할인이 제공됩니다.
- Time 할인서비스는 주중/주말 상관없이 제공되는 서비스이며, Night Time 할인서비스는 승인시간 기준으로 오후 9시부터 오전 9시까지 제공됩니다.
- 병원/약국 10% 할인서비스 대상 가맹점에서 동물병원은 제외되며, 치과/한의원은 포함 제공됩니다.
- 티켓몬스터, 위메프, 쿠팡 사이트 직접 접속 시 혹은 대상가맹점 앱을 통해서 접속 시에만 할인이 적용됩니다.
- 전월 이용실적은 일시불+할부 금액 기준이며 (전월 할인거래 실적 포함) 교통이용금액은 전전월 이용금액 기준, 해외이용금액은 매입일자를 기준으로 적용됩니다.
- 월 기준 : 매월 1일 ~ 말일"
13,3,기타,할인,10%,N,기본혜택,,10%할인,"월납요금(공과금) 10% 할인서비스
- 전기요금 /도시가스요금/ SKT, LG U+, KT 통신요금 할인
  * 인터넷/집전화/이동통신/결합상품 포함
- 일 1회 할인 적용
- 1회 이용 금액 5만원까지 할인 적용 (1회 최대 5천원 할인)

할인한도안내
- 전월실적 30만원~50만원 : 3천원
- 전월실적 50만원 ~100만원 : 7천원
- 전월실적 100만원 이상 : 1만원 

- 서비스 대상 거래건 중 신한카드 전표 매입 순서대로 결제일 할인이 적용됩니다.
- 월납(공과금) 할인서비스는 전월 이용금액에 따라 제공된 월 할인 한도 내에서 서비스가 제공됩니다.
- 신규 발급 회원에 대해서는 카드사용 등록월의 익월말(등록월+1개월)까지 3천원의 할인한도가 제공됩니다.
- 전월 이용실적은 일시불+할부 금액 기준이며 (전월 할인거래 실적 포함) 교통이용금액은 전전월 이용금액 기준, 해외이용- 금액은 매입일자를 기준으로 적용됩니다
- 월 기준 : 매월 1일 ~ 말일"
49,1,기타,적립,"1,000원",N,기본혜택,,1마일기본적립,"1,000원당 스카이패스 1 마일리지 적립
서비스안내
- 모든 가맹점 이용금액 1,000원당 스카이패스 1 마일리지 기본 적립
- 전월 이용금액에 관계없이, 적립한도 없이 적립

적립기준
- 결제건당 삼성카드 접수금액 기준으로 마일리지 적립
·  결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립

마일리지 적립 제외 대상
- 빅포인트 적립 제외 대상, 삼성카드와 구매캐시백포인트 제공 계약을 체결한 일부 의약품/유류 구매한도 대금결제, 페이백서비스 등의 이용금액
- 빅포인트 적립 제외 대상
·  법인공용카드, 무이자할부, 다이어트할부, 삼성카드 할인이 적용된 일시불 및 할부 이용금액, 고용/산재보험 및 장애인 고용부담금, 국세/지방세/공과금, 대학 등록금, 대중교통, 택시, 고속버스(차내 단말기 및 고속버스 App 결제), 고속도로 통행요금, 선불카드 충전(삼성유포인트카드, 삼성전자 멤버십 BLUE 삼성선불카드, 삼성올앳카드 등), 휴대폰알림서비스(S.InfoCare), 스마트오토서비스, 이마트 이클럽 등의 이용금액
· 빅포인트 적립 제외 대상, 신규사업 등 삼성카드의 영업정책 및 기타 상황 변화에 따라 삼성카드가 정하여 홈페이지 등을 통해 사전에 게시하는 이용건
-해당 카드는 택시 이용 시에도 마일리지 적립

유의사항
- 해외겸용카드로 해외 이용 시에도 기본 적립이 적용됩니다.
· 해외 : 해외 가맹점 및 해외 직접구매 이용건
- 결제건 접수 후 마일리지 적립까지 약 10일(영업일 기준) 정도 소요됩니다.
- 적립된 마일리지는 기존 스카이패스 마일리지와 합산하여 사용 가능합니다.
- 적립된 마일리지의 사용방법 및 기준은 항공사 마일리지 사용 규정에 따릅니다.
- 자세한 내용은 항공사 홈페이지를 확인 바랍니다.
- 삼성카드 가맹점 업종 분류 기준에 의한 등록 가맹점에 한합니다."
49,2,여행/항공,적립,,N,기본혜택,,1마일특별적립,"1,000원당 스카이패스 1 마일리지 적립
서비스안내
- 모든 가맹점 이용금액 1,000원당 스카이패스 1 마일리지 기본 적립
- 전월 이용금액에 관계없이, 적립한도 없이 적립

적립기준
- 결제건당 삼성카드 접수금액 기준으로 마일리지 적립
·  결제금액을 1,000원으로 나눈 후 소수점 이하는 반올림하여 적립

마일리지 적립 제외 대상
- 빅포인트 적립 제외 대상, 삼성카드와 구매캐시백포인트 제공 계약을 체결한 일부 의약품/유류 구매한도 대금결제, 페이백서비스 등의 이용금액
- 빅포인트 적립 제외 대상
·  법인공용카드, 무이자할부, 다이어트할부, 삼성카드 할인이 적용된 일시불 및 할부 이용금액, 고용/산재보험 및 장애인 고용부담금, 국세/지방세/공과금, 대학 등록금, 대중교통, 택시, 고속버스(차내 단말기 및 고속버스 App 결제), 고속도로 통행요금, 선불카드 충전(삼성유포인트카드, 삼성전자 멤버십 BLUE 삼성선불카드, 삼성올앳카드 등), 휴대폰알림서비스(S.InfoCare), 스마트오토서비스, 이마트 이클럽 등의 이용금액
· 빅포인트 적립 제외 대상, 신규사업 등 삼성카드의 영업정책 및 기타 상황 변화에 따라 삼성카드가 정하여 홈페이지 등을 통해 사전에 게시하는 이용건
-해당 카드는 택시 이용 시에도 마일리지 적립

유의사항
- 해외겸용카드로 해외 이용 시에도 기본 적립이 적용됩니다.
· 해외 : 해외 가맹점 및 해외 직접구매 이용건
- 결제건 접수 후 마일리지 적립까지 약 10일(영업일 기준) 정도 소요됩니다.
- 적립된 마일리지는 기존 스카이패스 마일리지와 합산하여 사용 가능합니다.
- 적립된 마일리지의 사용방법 및 기준은 항공사 마일리지 사용 규정에 따릅니다.
- 자세한 내용은 항공사 홈페이지를 확인 바랍니다.
- 삼성카드 가맹점 업종 분류 기준에 의한 등록 가맹점에 한합니다."
49,3,기타,기타,,N,기본혜택,,라운지무료이용,"아멕스 공항 라운지 서비스
- 인천공항 라운지 본인 이용 무료
  * 대상 라운지 : 마티나 라운지
  * 대상 라운지 위치 : 제1여객터미널 동편/서편, 제2여객터미널

이용방법
-해당 카드와 당일 탑승권을 제시하시면 단말기를 통한 이용 가능 여부 확인 후 입장 가능

이용조건
- 전월 일시불 및 할부 이용금액 30만원 이상 시 제공
- 발급월+1개월까지는 이용금액에 관계없이 제공
- 통합 일 1회, 연 2회 제공

유의사항
- 서비스 이용방법 및 유의사항 등은 ‘아멕스 홈페이지(www.americanexpress.com/ko-kr/network) → 아멕스 카드 전체 혜택'에서 확인 바랍니다.
- 위의 내용은 아멕스 등급별 서비스와 함께 제공되는 삼성카드 선택 서비스에 대한 안내로, 아멕스 홈페이지의 안내와 다른 경우 삼성카드 홈페이지(www.samsungcard.com) 및 상품설명서의 안내 내용을 우선으로 합니다.
- 금융상품 이용 전 상품설명서, 홈페이지, 약관을 통해 이용조건을 확인 바랍니다."
2441,1,기타,할인,10%,N,기본혜택,,10%할인,"KB Pay 10% 할인
- 국내가맹점에서 KB Pay로 결제한 이용건
※ 해외 가맹점 결제건 제외"
