게시날짜,제목,조회수,좋아요수,댓글수,댓글내용
2025-04-04,안 보시면 손해가 맞습니다.,714284,15873,457,"유튜브 동영상 'vJT_Hs4VHMI'의 상세 요약입니다. 이 영상은 2년 동안 방문한 120개의 식당 중 10곳을 선별하여 소개하고 있습니다.
​산재후 (Sanjehu): 나무 장작을 이용한 그릴 요리를 전문으로 하는 식당입니다. 노량진 수산시장에서 재료를 직접 공수하는 주인의 열정이 돋보입니다. 먹장어와 와규 요리가 추천됩니다 [01:43].
​이자카야 코리 (Izakaya Kori): 잠실에 위치한 이자카야로, 퀄리티와 가격 면에서 훌륭한 곳입니다. 바지락술찜과 고등어봉초밥이 추천 메뉴입니다 [04:26].
​할매집 (Halmaejip): 미슐랭 가이드에 7년 연속 선정된 족발집입니다. 매콤한 양념과 쫀득한 식감이 특징이며, 푸짐한 양이 인상적입니다 [06:23].
​파티 (Pati): 가성비 좋은 프랑스 식당입니다. 문어 샐러드, 시금치 페스토 파스타, 비스크 파스타가 추천됩니다 [07:29].
​산청수풀가든 (Sancheong Supul Garden): '산장' 컨셉의 고기 전문점입니다. 신선하고 육즙 가득한 고기와 다양한 밑반찬이 돋보입니다 [09:42].
​이미커피 (Emi Coffee): '복숭아' 디저트인 '행복'으로 유명한 카페입니다. 복숭아와 요거트 아이스크림, 타르트의 조화가 훌륭합니다 [12:00].
​아도르 (Adore): 전 호텔 셰프가 운영하는 성수동의 양식당입니다. 모든 소스를 직접 만드는 것이 특징이며, 연어 그라브락스와 로마식 까르보나라, 비스크 파스타가 추천됩니다 [13:50].
​윤씨매운탕 (Yoon's Spicy Stew): 매운 닭볶음탕 전문점입니다. 맛있는 밑반찬과 오래 끓일수록 깊은 맛이 나는 국물이 특징입니다 [16:05].
​작은피자집 (Small Pizza House): 적은 테이블 수를 가진 인기 피자 가게입니다. 치즈와 토핑이 풍부한 트리플 치즈 피자가 추천됩니다 [17:34].
​산동 (Sandong): 텐동 전문점입니다. 짜거나 달지 않은 완벽한 타레 소스가 특징이며, 밥의 식감도 훌륭합니다 [18:57]."
2025-04-04,안 보시면 손해가 맞습니다.,714284,15873,457,"요즘 맛집 검색하면 광고나 평범  체험단이 많고
파인다이닝은 너무 지나치게 비싸고
방송식당은 맛에 비해 너무 예약이 빡센데
좋네요"
2025-04-04,안 보시면 손해가 맞습니다.,714284,15873,457,아 코오리 안되는데... 예약 큰일나따...
2025-04-04,안 보시면 손해가 맞습니다.,714284,15873,457,윤심이네 웨이팅 생기면 안되는데....내 숨겨둔 맛집
2025-04-04,안 보시면 손해가 맞습니다.,714284,15873,457,이 영상보고 얼른 예약했습니다~! 맛집 소개 감사드려요👍❤️❤️
2025-04-04,안 보시면 손해가 맞습니다.,714284,15873,457,"작은피자집...그만...
맨날 웨이팅...
그 와중에 페퍼로니+트리플치즈 조합은 저랑 똑같네여..."
2025-04-04,안 보시면 손해가 맞습니다.,714284,15873,457,"산청숯불갈비 진짜 JMT
인생 고기집 중 하나
근데 웨이팅 너무 길어서 그건 아쉽"
2024-09-12,기념일에 무조건 사랑받는 낭만넘치는 은하수뷰 재즈바✨#녹트 #한강뷰 #한강뷰레스토랑 #서울데이트 #서울데이트코스,130143,522,2,"기념일에 무조건 사랑받는 낭만넘치는 은하수뷰 재즈바✨

일렁이는 한강뷰에 반짝이는 별이 머리 위에 쏟아지는
역대급 몽환적인 레스토랑 녹트!💘

언젠가 꼭 가봐야지 하다가
저도 남자친구와 3000일을 맞이해
예약에 성공하고 다녀왔어요ㅎㅎ💐

기념일이나 데이트 앞두신 분들
꼭 한번 다녀와보세요!💝💝

📍녹트 
-서울 용산구 올림픽대로 2085-96 THE RIVER 2층
-예약은 캐치테이블로 30일 전 자정에 예약이 오픈됨!
자정 예약에 실패해도, 빈자리 알람 해두면
빈자리가 끊임없이 계속 뜨니 취소표로도 완전 가능💫"
2025-10-05,"올해 파인다이닝 1등, 예약성공률 0.0001% [S학점 🍝 상암 일 베키오]",71364,1635,50,"🧑🏻‍🎓엉겁결에 가봤고, 가봐서 참 다행이 된 곳 일 베키오입니다.

최근 여러 선배님 채널들에서 찬사 영상들이 올라와 '맛있는가 보다' 하고 지나쳤던 곳. 원래 파인다이닝을 잘 리뷰하는 채널도 아니기에 제가 방문하게 될 지는 몰랐습니다. 작년 올해 다닌 곳 중에서 가격은 가장 낮은 편에 맛은 반비례하는 일 베키오. 최고라는 타이틀에 이견이 없는 곳이었습니다.

현재까지 올라온 채널들이 아니라, 올라올 채널들이 많기에 예약난이도는 더더욱 높아지게 될 곳. 사실상 이번에 간 이유도 이제 못간다는 지인 통화 때문이었습니다. 6인 기준 식사비 90만원에 와인값이 90만원이 나온 일 베키오. 덕분에 이번 한 달은 밀키트에 햇반이지만 그래도 행복합니다. 암표를 구해서라도(?) 다녀오세요!

-

🥩 일 베키오
📍 서울 마포구 월드컵북로 332-12 1층 일 베키오
⏰ 10:00 - 22:00(15:00 - 18:00 브레이크타임)

-

🎓 오늘의 수업 총평
◽Dinner course(140,000원) S"
2025-10-05,"올해 파인다이닝 1등, 예약성공률 0.0001% [S학점 🍝 상암 일 베키오]",71364,1635,50,아 예전부터 저장해두고 가던곳인데 왜 모든 유튜버들이 리뷰하는가 ㅠ 예약이 점점 힘들어지는
